BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,Distance,PRICE_BY_SQFT,Borough,House_Type
Brokered by RE MAX Edge,Multi-family home for sale,2099000,3,6.0,3520.0,1771 66th St,"Brooklyn, NY 11204","1771 66th StBrooklyn, NY 11204",United States,New York,Kings County,Brooklyn,66th Street,"1771 66th St, Brooklyn, NY 11204, USA",40.6190481,-73.9912327,8.247789022196272,596.3068181818181,Brooklyn,Multi-family
Brokered by Benjamin Realty Since 1980,Co-op for sale,339000,1,1.0,2184.207862,77-35 113th St Unit 5B,"Forest Hills, NY 11375","77-35 113th St Unit 5BForest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,77-35,"77-35 113th St #5b, Forest Hills, NY 11375, USA",40.7162869,-73.8314446,5.524624835280221,155.20500859729987,,Co-op
Brokered by Welhome Realty Inc,Co-op for sale,255000,1,1.0,2184.207862,68-05 138th St Unit 1C,"Flushing, NY 11367","68-05 138th St Unit 1CFlushing, NY 11367",New York,Queens County,Queens,Flushing,68-5,"68-5 138th St #1c, Flushing, NY 11367, USA",40.7315119,-73.8286528,5.581163233566344,116.74713036080078,,Co-op
Brokered by Mitra Hakimi Realty Group LLC,Co-op for sale,140000,3,1.0,2184.207862,164-20 Highland Ave Unit 5S,"Jamaica, NY 11432","164-20 Highland Ave Unit 5SJamaica, NY 11432",New York,Queens County,Queens,Jamaica,164-20,"164-20 Highland Ave #5b, Jamaica, NY 11432, USA",40.7101573,-73.7988498,7.280849949070401,64.09646372749847,,Co-op
Brokered by Sbny Re,Co-op for sale,240000,3,1.0,500.0,70-25 Yellowstone Blvd Unit 7B,"Forest Hills, NY 11375","70-25 Yellowstone Blvd Unit 7BForest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,70-25,"70-25 Yellowstone Blvd #7b, Queens, NY 11375, USA",40.7223221,-73.8493655,4.532963175602562,480.0,Brooklyn,Co-op
Brokered by COMPASS,Co-op for sale,1775000,2,2.0,2184.207862,261 W 71st St Apt 1,"Manhattan, NY 10023","261 W 71st St Apt 1Manhattan, NY 10023",New York,New York County,New York,Manhattan,261,"261 W 71st St Apt 1, New York, NY 10023, USA",40.7787812,-73.9837783,4.187046338048963,812.6515936879271,,Co-op
Brokered by Corcoran Park Avenue South,Co-op for sale,1195000,2,2.0,650.0,241 E 31st St # 2,"New York, NY 10016","241 E 31st St # 2New York, NY 10016",New York,New York County,New York,Manhattan,241,"241 E 31st St # 2, New York, NY 10016, USA",40.7435603,-73.9784968,2.4349078829458364,1838.4615384615386,,Co-op
"Brokered by Charles Rutenberg Realty, Inc.",House for sale,699000,3,2.0,2040.0,1045 Wheeler Ave,"Bronx, NY 10472","1045 Wheeler AveBronx, NY 10472",United States,New York,Bronx County,The Bronx,Wheeler Avenue,"1045 Wheeler Ave, Bronx, NY 10472, USA",40.8247339,-73.8794549,7.1283969147913995,342.6470588235294,,House
Brokered by Corcoran West Side,Co-op for sale,4150000,2,2.0,2184.207862,875 Fifth Ave # 12B,"New York, NY 10065","875 Fifth Ave # 12BNew York, NY 10065",New York,New York County,New York,Manhattan,875,"875 5th Ave #12b, New York, NY 10065, USA",40.7701916,-73.9682413,3.2346451389801807,1900.0023176365619,,Co-op
Brokered by Homemax Realty Inc,Multi-family home for sale,1398000,9,6.0,4440.0,255 Senator St,"Brooklyn, NY 11220","255 Senator StBrooklyn, NY 11220",United States,New York,Kings County,Brooklyn,Senator Street,"255 Senator St, Brooklyn, NY 11220, USA",40.6376945,-74.0263049,7.998753069555662,314.86486486486484,Brooklyn,Multi-family
Brokered by Coldwell Banker American Homes,Co-op for sale,299000,3,1.0,650.0,42-55 Colden St Unit 12K,"Flushing, NY 11355","42-55 Colden St Unit 12KFlushing, NY 11355",New York,Queens County,Queens,Flushing,42-55,"42-55 Colden St #12k, Flushing, NY 11355, USA",40.7533589,-73.8250479,5.9789219228112795,460.0,,Co-op
Brokered by Brown Harris Stevens - 1926 Broadway,Co-op for sale,500000,3,1.0,450.0,101 W 12th St Apt 7B,"Manhattan, NY 10011","101 W 12th St Apt 7BManhattan, NY 10011",New York,New York County,New York,Manhattan,101,"101 W 12th St Apt 7m, New York, NY 10011, USA",40.7361563,-73.9977295,3.2939843447824555,1111.111111111111,,Co-op
Brokered by E Realty International Corp,Condo for sale,450888,1,1.0,2184.207862,63-60 102nd St Unit B14,"Rego Park, NY 11374","63-60 102nd St Unit B14Rego Park, NY 11374",New York,Queens County,Queens,Flushing,6360,"6360 102nd St APT B14, Flushing, NY 11374, USA",40.7319691,-73.8541569,4.246491311834589,206.43090240831665,Brooklyn,Condo
Brokered by Ilite Realty Inc,Co-op for sale,298000,1,1.0,790.0,2620 Ocean Pkwy Apt 6L,"Brooklyn, NY 11235","2620 Ocean Pkwy Apt 6LBrooklyn, NY 11235",New York,Kings County,Brooklyn,Gravesend,2620,"2620 Ocean Pkwy #6l, Brooklyn, NY 11235, USA",40.5860215,-73.9668364,10.126537572465873,377.2151898734177,,Co-op
Brokered by Realty Connect USA LLC,Co-op for sale,230000,1,1.0,2184.207862,1360 Ocean Ave Apt 2L,"Brooklyn, NY 11230","1360 Ocean Ave Apt 2LBrooklyn, NY 11230",United States,New York,Kings County,Brooklyn,1360,"1360 Ocean Ave #2l, Brooklyn, NY 11230, USA",40.6291705,-73.9575654,7.105806524881034,105.30133326660463,Brooklyn,Co-op
Brokered by B Square Realty,Condo for sale,748000,2,2.0,713.0,41-62 Bowne St Unit 3D,"Flushing, NY 11355","41-62 Bowne St Unit 3DFlushing, NY 11355",New York,Queens County,Queens,Flushing,41-62,"41-62 Bowne St #3d, Flushing, NY 11355, USA",40.7576255,-73.8231097,6.159532531002519,1049.0883590462834,,Condo
